date,open,high,low,close,adjusted_close,volume
2022-09-07,1701.61,1719.82,1690.9,1717.6935,1717.6935,188
2022-09-08,1718.395,1728.795,1703.5,1707.275,1707.275,166
2022-09-09,1708.845,1729.945,1708.22,1716.05,1716.05,145
2022-09-12,1717.045,1735.37,1711.975,1724.0702,1724.0702,154
2022-09-13,1724.75,1732.345,1696.7,1701.554,1701.554,225
2022-09-14,1701.86,1707.495,1693.255,1695.795,1695.795,103
2022-09-15,1696.0551,1698.62,1660.035,1663.7408,1663.7408,247
2022-09-16,1664.27,1680.695,1653.85,1674.9448,1674.9448,179
2022-09-19,1675.445,1680.16,1659.6705,1675.7758,1675.7758,141
2022-09-20,1675.47,1679.345,1659.6,1663.1089,1663.1089,137
2022-09-21,1663.67,1688.15,1654.145,1673.7368,1673.7368,221
2022-09-22,1675.0551,1685.495,1655.525,1670.5346,1670.5346,197
2022-09-23,1671.545,1676.595,1639.595,1643.09,1643.09,240
2022-09-26,1645.395,1650.02,1620.8001,1621.5675,1621.5675,197
2022-09-27,1621.995,1642.945,1621.77,1628.8024,1628.8024,148
2022-09-28,1629.26,1663.17,1614.35,1659.445,1659.445,313
2022-09-29,1659.88,1665.12,1641.05,1660.2918,1660.2918,164
2022-09-30,1661.125,1675.57,1658.9251,1659.67,1659.67,119
2022-10-03,1661.295,1701.795,1659.1,1699.2225,1699.2225,270
2022-10-04,1699.395,1729.735,1694.735,1726.2408,1726.2408,222
2022-10-05,1726.4249,1728.1,1700.15,1715.8106,1715.8106,181
2022-10-06,1716.0601,1726.095,1706.525,1710.85,1710.85,133
2022-10-07,1711.1,1715.395,1690.35,1694.52,1694.52,166
2022-10-10,1696.795,1700.335,1665.3001,1667.9564,1667.9564,226
2022-10-11,1668.395,1684.445,1660.45,1665.3075,1665.3075,162
2022-10-12,1666.495,1678.895,1660.95,1672.5053,1672.5053,126
2022-10-13,1673.295,1682.845,1642.25,1665.7972,1665.7972,261
2022-10-14,1665.895,1672.015,1639.895,1641.7584,1641.7584,212
2022-10-17,1644.095,1668.695,1643.695,1649.9447,1649.9447,169
